epoch,loss,lr,mae,val_loss,val_mae
0,6.9901933670043945,0.001,7.4760355949401855,0.5785295963287354,1.0409432649612427
1,0.40161043405532837,0.001,0.7614812254905701,0.08023372292518616,0.30720335245132446
2,0.042886197566986084,0.001,0.2040950506925583,0.01474454440176487,0.13967624306678772
3,0.016354966908693314,0.001,0.12977230548858643,0.008150147274136543,0.08842944353818893
4,0.008168060332536697,0.001,0.08993010967969894,0.006979638244956732,0.08036453276872635
5,0.0058512394316494465,0.001,0.07543176412582397,0.003457814222201705,0.06028969585895538
6,0.005440958775579929,0.001,0.07300671190023422,0.009982803836464882,0.09379515051841736
7,0.004230514634400606,0.001,0.06619362533092499,0.003243897808715701,0.057609278708696365
8,0.0032626797910779715,0.001,0.05664330720901489,0.003779014805331826,0.05906054377555847
9,0.00235311989672482,0.001,0.047298189252614975,0.004429961089044809,0.06507140398025513
10,0.001927790930494666,0.001,0.0426277220249176,0.0038854521699249744,0.06363317370414734
11,0.0016625558491796255,0.001,0.039985157549381256,0.003931082785129547,0.06129676476120949
12,0.0014301331248134375,0.001,0.0374152697622776,0.0034882905893027782,0.059455256909132004
13,0.0010702537838369608,0.0003,0.03212079033255577,0.00400520209223032,0.06260064244270325
14,0.0009466885239817202,0.0003,0.02960062026977539,0.0038616785313934088,0.061629053205251694
15,0.0008708490640856326,0.0003,0.02822766825556755,0.004095930140465498,0.06316336244344711
16,0.0007956669433042407,0.0003,0.02692752331495285,0.0038330729585140944,0.06139911338686943
17,0.0007428575772792101,0.0003,0.02609267644584179,0.003974554594606161,0.06263111531734467
